id,id_kategori,kbli_2_digit_deskripsi,nama_variabel,tahun,jumlah
340,559,Makanan,Mikro,2018,1681986.0
341,559,Minuman,Kecil,2018,2310.0
342,559,Minuman,Mikro,2018,111703.0
343,559,Pengolahan Tembakau,Kecil,2018,73173.0
344,559,Pengolahan Tembakau,Mikro,2018,51406.0
345,559,Tekstil,Mikro,2018,253508.0
346,559,Tekstil,Kecil,2018,8016.0
347,559,Pakaian Jadi,Kecil,2018,32139.0
348,559,Pakaian Jadi,Mikro,2018,537606.0
349,559,Kulit Barang dari Kulit dan Alas Kaki,Kecil,2018,11845.0
350,559,Kulit Barang dari Kulit dan Alas Kaki,Mikro,2018,52438.0
351,559,Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya,Kecil,2018,11752.0
352,559,Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya,Mikro,2018,579132.0
353,559,Kertas dan Barang dari Kertas,Kecil,2018,932.0
354,559,Kertas dan Barang dari Kertas,Mikro,2018,5823.0
355,559,Pencetakan dan Reproduksi Media Rekaman,Kecil,2018,4704.0
356,559,Pencetakan dan Reproduksi Media Rekaman,Mikro,2018,32583.0
357,559,Produk dari Batu Bara dan Pengilangan Minyak Bumi,Mikro,2018,0.0
358,559,Produk dari Batu Bara dan Pengilangan Minyak Bumi,Kecil,2018,0.0
359,559,Bahan Kimia dan Barang dari Bahan Kimia,Kecil,2018,919.0
360,559,Bahan Kimia dan Barang dari Bahan Kimia,Mikro,2018,27917.0
361,559,Farmasi Produk Obat Kimia dan Obat Tradisional,Mikro,2018,8468.0
362,559,Farmasi Produk Obat Kimia dan Obat Tradisional,Kecil,2018,204.0
363,559,Karet Barang dari Karet dan Plastik,Mikro,2018,9270.0
364,559,Karet Barang dari Karet dan Plastik,Kecil,2018,3558.0
365,559,Barang Galian Bukan Logam,Kecil,2018,24553.0
366,559,Barang Galian Bukan Logam,Mikro,2018,201541.0
367,559,Logam Dasar,Mikro,2018,7232.0
368,559,Logam Dasar,Kecil,2018,246.0
369,559,Barang Logam Bukan Mesin dan Peralatannya,Kecil,2018,10295.0
370,559,Barang Logam Bukan Mesin dan Peralatannya,Mikro,2018,116171.0
371,559,Komputer Barang Elektronik dan Optik,Mikro,2018,697.0
372,559,Komputer Barang Elektronik dan Optik,Kecil,2018,100.0
373,559,Peralatan Listrik,Mikro,2018,516.0
374,559,Peralatan Listrik,Kecil,2018,214.0
375,559,Mesin dan Perlengkapan ytdl,Kecil,2018,397.0
376,559,Mesin dan Perlengkapan ytdl,Mikro,2018,3644.0
377,559,Kendaraan Bermotor Trailer dan Semi Trailer,Mikro,2018,2344.0
378,559,Kendaraan Bermotor Trailer dan Semi Trailer,Kecil,2018,500.0
379,559,Alat Angkutan Lainnya,Kecil,2018,415.0
380,559,Alat Angkutan Lainnya,Mikro,2018,7941.0
381,559,Furnitur,Mikro,2018,145442.0
382,559,Furnitur,Kecil,2018,15411.0
383,559,Pengolahan Lainnya,Mikro,2018,152358.0
384,559,Pengolahan Lainnya,Kecil,2018,3810.0
385,559,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Mikro,2018,8611.0
386,559,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Kecil,2018,424.0
